abbrev,        name,                                        scalerank,        type,             location,                                   country,                        city,                           city_location,              elevation
CEK,           Chelyabinsk,                                 9,                mid,              POINT(61.5122589740201 55.2977919496055),   Russia,                         Chelyabinsk,                    POINT(61.4 55.15),          235.0
TNN,           Tainan,                                      8,                military:mid,     POINT(120.209733318093 22.950667918347),    Taiwan,                         Tainan,                         POINT(120.1833 22.9833),    20.0
RMQ,           Taichung,                                    8,                military:mid,     POINT(120.630703547584 24.2666555567115),   Taiwan,                         Taichung,                       POINT(120.6794 24.1439),    
RTM,           Rotterdam The Hague,                         8,                mid,              POINT(4.43384434962876 51.9491301899382),   Netherlands,                    The Hague,                      POINT(4.31 52.08),          -4.0
VOZ,           Voronezh-Chertovitskoye,                     8,                mid,              POINT(39.2254496447973 51.8126171268344),   Russia,                         Voronezh,                       POINT(39.2106 51.6717),     157.0
LPL,           Liverpool John Lennon,                       8,                major,            POINT(-2.85862065784938 53.3363751054422),  United Kingdom,                 Liverpool,                      POINT(-2.9919 53.4075),     25.0
VTZ,           Vishakapatnam,                               8,                mid,              POINT(83.2235216387465 17.7279577384364),   India,                          Vishākhapatnam,                 POINT(83.2978 17.7042),     
UPG,           Sultan Hasanuddin Int'l,                     8,                major,            POINT(119.545691342151 -5.05893689455779),  Indonesia,                      Makassar,                       POINT(119.4362 -5.1619),    15.0
VAV,           Vava'u Int'l,                                8,                mid,              POINT(-173.968093944159 -18.5860058550654), Tonga,                          Neiafu,                         POINT(-173.9831 -18.6508),  72.0
NCL,           Newcastle Int'l,                             8,                major,            POINT(-1.71034578407216 55.037084860802),   United Kingdom,                 Gateshead,                      POINT(-1.6 54.95),          82.0
LCE,           Goloson Int'l,                               8,                mid,              POINT(-86.8514685020011 15.7451596659126),  Honduras,                       La Ceiba,                       POINT(-86.7931 15.7792),    15.0
MED,           Madinah Int'l,                               8,                major,            POINT(39.6991359560417 24.5442339605661),   Saudi Arabia,                   Badr Ḩunayn,                    POINT(38.7906 23.78),       656.0
YMX,           Mirabel Int'l,                               8,                mid,              POINT(-74.0287382984814 45.6832250979267),  Canada,                         Montréal,                       POINT(-73.5617 45.5089),    83.0
PLQ,           Palanga Int'l,                               8,                mid,              POINT(21.0974463986251 55.9713426235358),   Lithuania,                      Klaipėda,                       POINT(21.1667 55.75),       
JAI,           Jaipur Int'l,                                8,                mid,              POINT(75.8010104192668 26.8211798100605),   India,                          Nawai,                          POINT(75.924 26.3824),      385.0
IXW,           Sonari,                                      8,                mid,              POINT(86.1724662363776 22.8154145110242),   India,                          Jamshedpur,                     POINT(86.1842 22.7925),     145.0
YEI,           Yenisehir,                                   8,                mid,              POINT(29.54492 40.2555395007473),           Turkey,                         İnegöl,                         POINT(29.5097 40.0806),     
ADA,           Şakirpaşa,                                   8,                major,            POINT(35.2969614268338 36.9852090641795),   Turkey,                         Adana,                          POINT(35.3213 37.0),        73.0
